,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
346,Arlit,NE,84.6,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
347,Mecca,SA,78.96,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
354,Namatanai,PG,84.96,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
355,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
356,Mamallapuram,IN,80.65,moderate rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
362,Gizo,SB,83.86,light rain,-8.103,156.8419,Imagination Island
364,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
374,Manzanillo,CU,80.28,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
378,Les Cayes,HT,78.71,broken clouds,18.2,-73.75,Villa Orphee
381,Vanimo,PG,80.49,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
390,Nouakchott,MR,84.13,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
398,Palembang,ID,78.89,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
409,Emerald,AU,84.97,clear sky,-23.5333,148.1667,The Irish Village
410,Ternate,ID,81.93,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
412,Dovers,VC,81.73,overcast clouds,12.8833,-61.1833,Ocean Breeze
421,Machiques,VE,78.26,overcast clouds,10.0644,-72.545,hotel el markes
428,Galle,LK,78.3,overcast clouds,6.0367,80.217,Amangalla
431,Manuk Mangkaw,PH,83.26,broken clouds,4.8,119.85,
433,Lompoc,US,84.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
436,Pandan,PH,80.91,broken clouds,14.0453,124.1694,Bonifacio Lodge
438,Nieuw Amsterdam,SR,79.14,few clouds,5.8833,-55.0833,Hotel Stardust
442,Kulhudhuffushi,MV,80.78,overcast clouds,6.6221,73.07,Haajy Guest House 1
